time,B
"17,6175977777778","-0,68"
"17,6176063888889","-0,71"
"17,6176152777778","-0,69"
"17,6176238888889","-0,59"
"17,6176325","-0,58"
"17,6176411111111","-0,67"
"17,61765","-0,73"
"17,6176586111111","-0,9"
"17,6176672222222","-0,94"
"17,6176758333333","-1,03"
"17,6176847222222","-1,03"
"17,6176933333333","-1,05"
"17,6177019444444","-1,09"
"17,6177105555556","-1,15"
"17,6177194444444","-1,06"
"17,6177280555556","-1,02"
"17,6177366666667","-0,94"
"17,6177452777778","-0,72"
"17,6177541666667","-0,68"
"17,6177627777778","-0,76"
"17,6177713888889","-0,64"
"17,61778","-0,52"
"17,6177888888889","-0,63"
"17,6177975","-0,74"
"17,6178061111111","-0,84"
"17,6178147222222","-0,86"
"17,6178236111111","-0,87"
"17,6178322222222","-0,96"
"17,6178408333333","-0,97"
"17,6178494444444","-1,07"
"17,6178583333333","-0,88"
"17,6178669444444","-0,94"
"17,6178755555556","-0,83"
"17,6178841666667","-0,71"
"17,6178930555556","-0,76"
"17,6179016666667","-0,76"
"17,6179102777778","-0,69"
"17,6179188888889","-0,74"
"17,6179277777778","-0,74"
"17,6179363888889","-0,77"
"17,617945","-0,71"
"17,6179536111111","-0,74"
"17,6179625","-0,82"
"17,6179711111111","-0,84"
"17,6179797222222","-0,98"
"17,6179883333333","-1,08"
"17,6179972222222","-1,27"
"17,6180058333333","-1,37"
"17,6180144444444","-1,33"
"17,6180230555556","-1,37"
"17,6180319444444","-1,35"
"17,6180405555556","-1,32"
"17,6180491666667","-1,27"
"17,6180577777778","-1,23"
"17,6180666666667","-1,42"
"17,6180752777778","-1,32"
"17,6180838888889","-1,19"
"17,6180925","-1,1"
"17,6181013888889","-1,16"
"17,61811","-1,07"
"17,6181186111111","-1,02"
"17,6181272222222","-0,94"
"17,6181361111111","-1,01"
"17,6181447222222","-1,01"
"17,6181533333333","-1,01"
"17,6181619444444",-1
"17,6181708333333","-1,03"
"17,6181794444444",-1
"17,6181880555556","-0,99"
"17,6181966666667","-0,86"
"17,6182055555556","-0,87"
"17,6182141666667","-0,86"
"17,6182227777778","-0,77"
"17,6182313888889","-0,88"
